element,id,geometry,internet_access,name,name:mr,network,operator,public_transport,railway,ref,train,wikidata,wikipedia,amenity,addr:city,addr:district,addr:postcode,addr:street,brand,building,fuel:air,fuel:cng,fuel:diesel,fuel:petrol,self_service,name:azb,name:be,name:de,name:el,name:en,name:es,name:hi,name:ks,name:sr,name:uk,name:ur,name:fa,cuisine,branch,brand:wikidata,brand:wikipedia,addr:full,addr:state,healthcare,source,email,operator:type,website,healthcare:speciality,opening_hours,addr:housenumber,brand:ur,short_name,short_name:ur,covered,addr:subdistrict,description,network:wikidata,station,subway,bicycle,wheelchair,bus,air_conditioning,atm,drive_through,addr:floor,check_date,level,diet:vegetarian,grades,delivery,diet:non-vegetarian,smoking,toilets,fuel:h70,phone,fuel:octane_91,fuel:octane_95,emergency,official_name,layer,opening_hours:covid19,building:levels,wikimedia_commons,addr:neighbourhood,bar,landuse,name:etymology:wikidata,type
node,10725761441,POINT (73.8259594 18.6018506),,Hotel Shilpa (Gavran),,,,,,,,,,restaurant,,,,"Old Mumbai - Pune Hwy, next to JN Marshall Company, below Union Bank of india, Shastri Nagar, Kasarwadi, Pimpri-Chinchwad, Maharashtra 411034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10725773428,POINT (73.8175407 18.6003593),,Joshi's Snacks Center,,,,,,,,,,restaurant,,,,"Kalpataru Estate (Phase - 1), Opposite Pune., Pimple Gurav, Pune, Maharashtra 411061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10725776833,POINT (73.8178154 18.5991882),,Ignite Restro & Lounge,,,,,,,,,,restaurant,,,,"Sr. No. 91, Kashid Park, Prabhat Nagar, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10725966767,POINT (73.8156198 18.6019875),,Dominoes,,,,,,,,,,restaurant,,,,"Upper Ground Floor,Municipal Corporation, 1, Wakad - Nashik Phata BRTS Rd, काशिद पार्क, Pimple Gurav, Pimpri-Chinchwad, Maharashtra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10725975155,POINT (73.8136356 18.6006823),,Kokan Spice Family Restaurant,,,,,,,,,,restaurant,,,,"BRT Road, Maharashtra Colony, Kashid Park, Jawakar Nagar, Pimple Gurav, Pune, Maharashtra 411061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10743414164,POINT (73.7904165 18.5967134),,ASG eye hospital,ए एस जी डोळ्यांचे रुग्णालय,,,,,,,,,hospital,,,,,,,,,,,,,,,,ASG eye hospital,,,,,,,,,,,,,,hospital,,,private,,optometry,,,,,,,,,,,,,,,,,,4,2023-09-30,4,,,,,,,,,,,,,,,,,,,,,
node,10806879301,POINT (73.851652 18.6237191),,JaiHind Hospital,,,,,,,,,,hospital,Pimpri Chinchwad,,411039,Pune Nashik Highway,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,general;orthopaedics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10806966846,POINT (73.8224215 18.5852287),,Ashoka Hotel,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
node,10807028855,POINT (73.8482182 18.6315671),,Shri Bhairavnath Secondary and Higher Secondary School,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-10,,,,,,,,,,,,,,,,,,,
node,11059326652,POINT (73.7911307 18.6392794),,Astha Hospital,,,,,,,,,,hospital,Pune,pune,411019,"Udyog Nagar, Chinchwad, Pimpri-Chinchwad,",,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,general,,45/2/365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
